sku,airmart_product_id,airmart_option_id,name,category,price,original_price,unit,stock,inventory_type,visible,hidden,tag,description,image,images,addons,sort_order
"AIR-8876066","8876066","8876066","北海道根室“晓”（A）马粪海胆/ Japan Hokkaido Bafun Sea Urchin (Uni)","北海道标准级(A)&上选级(SA)马粪海胆 ｜Hokkaido Regular Grade (A) & Selected Grade (SA) Sea Urchin (Uni)","68","0","100g","","unlimited","true","false","","","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/790569d0-d624-11f0-be25-71a8d8d6901a.jpg","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/790569d0-d624-11f0-be25-71a8d8d6901a.jpg","","11"
"AIR-9323817","9323817","9323817","北海道马粪海胆 B级 B grade 家保 ","北海道标准级(A)&上选级(SA)马粪海胆 ｜Hokkaido Regular Grade (A) & Selected Grade (SA) Sea Urchin (Uni)","135","0","250g","","unlimited","false","true","","","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/a4581c60-7e1b-11f0-aed4-b5a20f27415f.jpg","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/a4581c60-7e1b-11f0-aed4-b5a20f27415f.jpg","","12"
"AIR-9215299","9215299","9215299","北海道平山（A）马粪海胆 / Japan Hokkaido Bafun Sea Urchin (Uni)","北海道标准级(A)&上选级(SA)马粪海胆 ｜Hokkaido Regular Grade (A) & Selected Grade (SA) Sea Urchin (Uni)","69","0","100g","","unlimited","false","true","","","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/bfbc3ca0-6ccf-11f0-8f8a-7f55d67c4332.jpg","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/bfbc3ca0-6ccf-11f0-8f8a-7f55d67c4332.jpg","","13"
"AIR-8172092","8172092","8172092","北海道松马粪海胆 鲜甜无比 / Japan Hokkaido ""Kakusyou"" Bafun Sea Urchin (Uni)","北海道标准级(A)&上选级(SA)马粪海胆 ｜Hokkaido Regular Grade (A) & Selected Grade (SA) Sea Urchin (Uni)","109","0","250g","","unlimited","false","true","","","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/30b77630-d99c-11ef-bb50-3535fd1365a8.jpg","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/30b77630-d99c-11ef-bb50-3535fd1365a8.jpg","","14"
"AIR-11919849","11919849","11919849","北海道进马粪海胆 / Japan Hokkaido ""Kaneshin"" Bafun Sea Urchin (Uni)","北海道标准级(A)&上选级(SA)马粪海胆 ｜Hokkaido Regular Grade (A) & Selected Grade (SA) Sea Urchin (Uni)","135","0","250g","","unlimited","true","false","","","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/5d8445a0-f71c-11f0-88fb-1f66ffab0627.jpg","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/5d8445a0-f71c-11f0-88fb-1f66ffab0627.jpg","","15"
"AIR-8877819","8877819","8877819","2盒北海道A级“欧阳”马粪海胆/ Japan Hokkaido 欧阳 Bafun Sea Urchin (Uni)","北海道标准级(A)&上选级(SA)马粪海胆 ｜Hokkaido Regular Grade (A) & Selected Grade (SA) Sea Urchin (Uni)","120","0","2盒","","unlimited","false","true","","","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/b2775be0-3b4e-11f0-96a0-9b7c25e5102a.jpg","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/b2775be0-3b4e-11f0-96a0-9b7c25e5102a.jpg","","16"
"AIR-7381550","7381550","7381550","Hokkaido “晓” A Grade Bafun Sea Urchin (Uni)｜北海“晓”A级马粪海胆 ","北海道标准级(A)&上选级(SA)马粪海胆 ｜Hokkaido Regular Grade (A) & Selected Grade (SA) Sea Urchin (Uni)","65","0","100g","","unlimited","false","true","","产品概述\n北海道「晓」马粪海胆以干净的海味与自然鲜甜著称，属于北海道产区人气海胆品牌之一。A 级定位为品牌体系中的经典标准等级，兼具稳定品质与高性价比，适合日常刺身、寿司及海胆丼等多种用法。\n口感风味\n色泽金黄自然，入口绵密柔滑，带明显甜味与鲜味层次，余韵清爽不腻，海味纯净。\n产品亮点\n✅ 北海道产区：海味纯净，风味清爽\n✅ A Grade 经典等级：品质稳定、性价比高\n✅ 口感细腻：绵密顺滑、自然甜润\n✅ 料理百搭：刺身/寿司/丼饭皆宜\n✅ Omakase / 寿司店常用：适合日常高频出品\n推荐吃法\n刺身｜寿司｜海胆丼｜手卷｜拌饭｜海胆意面\n\nOverview\nHokkaido “Akatsuki” Bafun Uni is known for its clean ocean flavor and natural sweetness. A Grade represents the brand’s classic standard selection, offering stable quality and excellent value. It’s a versatile choice for sashimi, sushi, uni don, and everyday premium dining.\nTaste Profile\nNaturally golden in color with a smooth, creamy texture. Delivers clean sweetness, delicate umami, and a light, refreshing finish.\nKey Highlights\n✅ Sourced from Hokkaido with clean ocean flavor\n✅ A Grade Classic Selection: stable quality & great value\n✅ Smooth & creamy texture with natural sweetness\n✅ Versatile use: sashimi, sushi, uni don & more\n✅ Popular for sushi bars & omakase service\nBest For\nSashimi | Sushi | Uni Don | Hand Rolls | Rice Topping | Uni Pasta\n","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/347b1a20-353f-11f0-a66f-8ff7a51a59d6.jpg","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/347b1a20-353f-11f0-a66f-8ff7a51a59d6.jpg","","17"
"AIR-9482184","9482184","9482184","北海道丸势花排马粪海胆 鲜甜无比 / Japan Hokkaido ""Maruichi"" Bafun Sea Urchin (Uni)","北海道标准级(A)&上选级(SA)马粪海胆 ｜Hokkaido Regular Grade (A) & Selected Grade (SA) Sea Urchin (Uni)","129","0","250g","","unlimited","false","true","","","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/9bdb0130-181f-11f1-955a-9f1856400674.jpg","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/9bdb0130-181f-11f1-955a-9f1856400674.jpg","","18"
"AIR-9361675","9361675","9361675","北海道马粪海胆Kanadei ","北海道标准级(A)&上选级(SA)马粪海胆 ｜Hokkaido Regular Grade (A) & Selected Grade (SA) Sea Urchin (Uni)","105","0","250g","0","number","false","true","","","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/d9b41540-839c-11f0-9eb5-89bbbfa3463d.jpg","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/d9b41540-839c-11f0-9eb5-89bbbfa3463d.jpg","","19"
"AIR-17106622","17106622","17106622","北海道福屋马粪海胆/ Japan Hokkaido ""Inoya"" Bafun Sea Urchin (Un","北海道标准级(A)&上选级(SA)马粪海胆 ｜Hokkaido Regular Grade (A) & Selected Grade (SA) Sea Urchin (Uni)","125","0","250g","","unlimited","false","true","","","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/9d7c7f20-339d-11f1-a0d0-83161f116246.jpg","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/9d7c7f20-339d-11f1-a0d0-83161f116246.jpg","","20"
"AIR-8882297","8882297","8882297","根室新海水产马粪盐水海胆","北海道标准级(A)&上选级(SA)马粪海胆 ｜Hokkaido Regular Grade (A) & Selected Grade (SA) Sea Urchin (Uni)","65","0","100g","","unlimited","false","true","","","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/ec2e8f30-3c06-11f0-a006-d9d75d3a5a2c.jpg","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/ec2e8f30-3c06-11f0-a006-d9d75d3a5a2c.jpg","","21"
"AIR-8882298","8882298","8882298","根室泰匠马粪盐水海胆","北海道标准级(A)&上选级(SA)马粪海胆 ｜Hokkaido Regular Grade (A) & Selected Grade (SA) Sea Urchin (Uni)","65","0","100g","","unlimited","false","true","","","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/17c3c930-3c07-11f0-8029-2fb7bc4694ea.jpg","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/17c3c930-3c07-11f0-8029-2fb7bc4694ea.jpg","","22"
"AIR-9947917","9947917","9947917","加拿大马粪海胆","北海道标准级(A)&上选级(SA)马粪海胆 ｜Hokkaido Regular Grade (A) & Selected Grade (SA) Sea Urchin (Uni)","115","0","250g","","unlimited","false","true","","","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/e69244b0-ba9e-11f0-9eb5-89bbbfa3463d.jpg","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/e69244b0-ba9e-11f0-9eb5-89bbbfa3463d.jpg","","23"
"AIR-7797680","7797680","7797680","北海道AA级浜中小川马粪海胆 (天然) / Japan Hokkaido ""Hamanaka"" wild Bafun Sea Urchin (Uni)","北海道标准级(A)&上选级(SA)马粪海胆 ｜Hokkaido Regular Grade (A) & Selected Grade (SA) Sea Urchin (Uni)","198","0","250g","","unlimited","false","true","","","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/111db980-1590-11f0-b493-eb806879b3d4.jpg","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/111db980-1590-11f0-b493-eb806879b3d4.jpg|https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/c7a78bd0-ab7e-11ef-8968-417e8d205add.jpg","","24"
"AIR-8852809","8852809","8852809","家保马粪海胆","北海道标准级(A)&上选级(SA)马粪海胆 ｜Hokkaido Regular Grade (A) & Selected Grade (SA) Sea Urchin (Uni)","138","169","250g","","unlimited","true","false","","","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/15318330-3e9d-11f1-a0d0-83161f116246.jpg","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/15318330-3e9d-11f1-a0d0-83161f116246.jpg","","25"
"AIR-9740125","9740125","9740125","石田AB级","北海道标准级(A)&上选级(SA)马粪海胆 ｜Hokkaido Regular Grade (A) & Selected Grade (SA) Sea Urchin (Uni)","120","0","250g","","unlimited","false","true","","","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/990c9fc0-aa12-11f0-9eb5-89bbbfa3463d.jpg","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/990c9fc0-aa12-11f0-9eb5-89bbbfa3463d.jpg","","26"
"AIR-14578810","14578810","14578810","加拿大特选马粪海胆/ Canada Bafun Sea Urchin (Uni)","北海道标准级(A)&上选级(SA)马粪海胆 ｜Hokkaido Regular Grade (A) & Selected Grade (SA) Sea Urchin (Uni)","120","0","250g","","unlimited","false","true","","","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/a51dc630-1da4-11f1-abd1-993c4c4eec5e.jpg","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/a51dc630-1da4-11f1-abd1-993c4c4eec5e.jpg","","27"
"AIR-14578809","14578809","14578809","北海道根室AB级混合马粪海胆 / Japan Hokkaido ""Maruichi"" Bafun AB mix grade Sea Urchin (Uni)","北海道标准级(A)&上选级(SA)马粪海胆 ｜Hokkaido Regular Grade (A) & Selected Grade (SA) Sea Urchin (Uni)","155","0","250g","","unlimited","false","true","","","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/82e713a0-1da4-11f1-955a-9f1856400674.jpg","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/82e713a0-1da4-11f1-955a-9f1856400674.jpg","","28"
"AIR-10406758","10406758","10406758","丸水產 maruco ABmix   ","北海道标准级(A)&上选级(SA)马粪海胆 ｜Hokkaido Regular Grade (A) & Selected Grade (SA) Sea Urchin (Uni)","125","0","250g","","unlimited","false","true","","","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/cdcb3d10-d628-11f0-b7f5-53dcef469efb.jpg","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/cdcb3d10-d628-11f0-b7f5-53dcef469efb.jpg","","29"
"AIR-5867024","5867024","5867024","花排北海道名牌根室Maruichi 马粪海胆 鲜甜无比","北海道标准级(A)&上选级(SA)马粪海胆 ｜Hokkaido Regular Grade (A) & Selected Grade (SA) Sea Urchin (Uni)","99","145","250g","","unlimited","false","true","优美特价","","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/cedc9b30-a492-11f0-b7ea-cd5c8a3bce87.jpg","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/cedc9b30-a492-11f0-b7ea-cd5c8a3bce87.jpg","","30"
"AIR-18416711","18416711","18416711","北海道根室花排马粪海胆","北海道标准级(A)&上选级(SA)马粪海胆 ｜Hokkaido Regular Grade (A) & Selected Grade (SA) Sea Urchin (Uni)","125","0","250g","","unlimited","true","false","","","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/72f2fba0-3ba7-11f1-941e-2ffb7140a06a.jpg","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/72f2fba0-3ba7-11f1-941e-2ffb7140a06a.jpg","","31"
"AIR-14578751","14578751","14578751","加藤花排马粪海胆","北海道标准级(A)&上选级(SA)马粪海胆 ｜Hokkaido Regular Grade (A) & Selected Grade (SA) Sea Urchin (Uni)","155","0","250g ","","unlimited","false","true","","","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/23111580-1d99-11f1-abd1-993c4c4eec5e.jpg","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/23111580-1d99-11f1-abd1-993c4c4eec5e.jpg","","32"
"AIR-14578752","14578752","14578752","泰匠马粪海胆","北海道标准级(A)&上选级(SA)马粪海胆 ｜Hokkaido Regular Grade (A) & Selected Grade (SA) Sea Urchin (Uni)","175","0","250g","","unlimited","false","true","","","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/64903450-1d99-11f1-a0d0-83161f116246.jpg","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/64903450-1d99-11f1-a0d0-83161f116246.jpg","","33"
"AIR-10407052","10407052","10407052","Hokkaido ""Hisito"" A Grade Bafun Sea Urchin (Uni)| 富山 ヒシト A级马粪海胆  ","北海道标准级(A)&上选级(SA)马粪海胆 ｜Hokkaido Regular Grade (A) & Selected Grade (SA) Sea Urchin (Uni)","139","0","250g","","unlimited","false","true","","","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/2ae1bf50-d62f-11f0-b7f5-53dcef469efb.jpg","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/2ae1bf50-d62f-11f0-b7f5-53dcef469efb.jpg","","34"
"AIR-11211216","11211216","11211216","北海道根室丸势A级马粪海胆｜Hokkaido ""Maruichi"" (A) Bafun Sea Urchin (Uni)","北海道标准级(A)&上选级(SA)马粪海胆 ｜Hokkaido Regular Grade (A) & Selected Grade (SA) Sea Urchin (Uni)","158","0","250g","","unlimited","false","true","","","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/8e9bde90-f19b-11f0-88fb-1f66ffab0627.jpg","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/8e9bde90-f19b-11f0-88fb-1f66ffab0627.jpg","","35"
"AIR-7395731","7395731","7395731","丸恭（A）马粪海胆 / Marushige Bafun","北海道标准级(A)&上选级(SA)马粪海胆 ｜Hokkaido Regular Grade (A) & Selected Grade (SA) Sea Urchin (Uni)","148","178","250g","","unlimited","false","true","优美特价","","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/3df7bac0-8691-11ef-afdd-4b12fd6f7206.jpg","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/3df7bac0-8691-11ef-afdd-4b12fd6f7206.jpg","","36"
"AIR-10090958","10090958","10090958","瀬戸250g AB mix","北海道标准级(A)&上选级(SA)马粪海胆 ｜Hokkaido Regular Grade (A) & Selected Grade (SA) Sea Urchin (Uni)","139","0","250g","","unlimited","false","true","","","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/0aa93400-c597-11f0-a697-b9c41d94dc60.jpg","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/0aa93400-c597-11f0-a697-b9c41d94dc60.jpg","","37"
"AIR-8654856","8654856","8654856","北海道泰匠马粪海胆/ Japan Hokkaido “Yamaha” Bafun Urchin (Uni)","北海道标准级(A)&上选级(SA)马粪海胆 ｜Hokkaido Regular Grade (A) & Selected Grade (SA) Sea Urchin (Uni)","135","158","250g","","unlimited","false","true","","","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/829bddc0-231e-11f1-bea5-efe04dd9b3d6.jpg","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/829bddc0-231e-11f1-bea5-efe04dd9b3d6.jpg","","38"
"AIR-5798126","5798126","5798126","Hokkaido ""Marutaku"" (A) Bafun Sea Urchin (Uni) |北海道拓Marutaku A级马粪海胆","北海道标准级(A)&上选级(SA)马粪海胆 ｜Hokkaido Regular Grade (A) & Selected Grade (SA) Sea Urchin (Uni)","129","155","250g","","unlimited","false","true","","","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/02b9c2a0-e191-11ee-8671-33ccd41f999f.jpg","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/02b9c2a0-e191-11ee-8671-33ccd41f999f.jpg","","39"
